,0,1,2,3,4,5,6,7,8,9
2126,-13.62688,31.455677,-4.8227034,-47.48064,-34.47455,-13.732892,31.46108,-5.534988,-46.714806,-34.521606
2127,-44.84396,75.90586,-19.155499,-81.31557,-69.409164,-45.83166,77.348175,-20.336535,-79.78667,-68.60668
2128,0.015106916,3.157731,-0.8278232,-5.874547,-3.5295322,0.34700686,3.6553485,-0.77931005,-5.888254,-2.665209
2129,-3.790289,1.9971409,-0.8370115,-5.253401,-7.88356,-2.772003,1.9701964,-1.0709342,-4.9223948,-6.7951355
2130,-5.2304363,3.0507708,-0.91592157,-3.3952374,-6.4908247,0.00875784,3.4112728,-0.57754564,-2.594339,0.24814598
2131,-1.0889606,3.0560071,-0.92820656,-5.456951,-4.418111,0.15182227,2.1466131,-1.0211686,-5.0037684,-3.726502
2132,-53.042885,61.31448,-14.014515,-67.76199,-73.50491,-53.89559,60.70277,-13.349205,-66.44564,-72.98767
2133,-4.52404,6.493353,-1.8347504,-6.552214,-6.417652,-4.5493393,6.5659385,-1.6900592,-6.9904647,-6.663924
2134,-33.091362,22.780651,-5.9876227,-6.9749207,-23.273254,-35.098377,25.057404,-6.43578,-7.4218073,-23.89856
2135,-84.47109,52.760338,-22.615894,-20.466375,-74.79302,-95.32048,58.861702,-26.087976,-21.632215,-84.17897
2136,-4.0705104,7.9488916,-2.0378468,-16.788616,-14.948082,-4.5377336,8.160734,-1.883967,-17.543074,-15.804039
2137,5.433317,4.6956515,-1.1940103,-4.3253746,4.6095843,4.7530637,5.2234817,-0.97605973,-4.668502,4.331984
2138,-34.0362,32.243492,-8.315144,-9.879028,-19.986881,-45.934822,31.59251,-9.810866,-12.012929,-36.166107
2139,-55.38808,60.687904,-17.288029,-12.349539,-24.337744,-54.82037,60.968124,-16.584003,-11.975529,-22.41178
2140,-1.0299628,4.623815,-0.8617923,-9.734945,-7.002886,-0.30285725,4.5212455,-0.6566684,-10.361425,-6.799706
2141,-2.4876654,6.834994,-1.3826938,-11.5362215,-8.571587,-4.368836,5.226738,-0.92395735,-10.114192,-10.180248
2142,-3.2893932,9.115401,-1.7891657,-14.009277,-9.972435,-2.7569325,9.089063,-2.174115,-14.646447,-10.488432
2143,-0.5693004,6.2216277,-1.047537,-8.010293,-3.4055023,-0.3275764,5.8696265,-0.73990315,-8.133033,-3.3308856
2144,-33.633076,11.327439,-6.8563943,-11.035078,-40.19711,-33.324078,11.333523,-7.1702003,-10.945113,-40.10587
2145,-0.7271874,7.5171146,-1.3709638,-9.410177,-3.9912138,-0.16314206,7.000157,-1.0656734,-9.527378,-3.756036
2146,-6.683813,3.1144729,-1.0078014,-2.9701285,-7.5472703,-1.7462634,4.015935,-1.1234238,-3.1580055,-2.0117579
2147,-6.664755,7.1111455,-1.3250339,-10.856447,-11.73509,-7.176331,7.644644,-1.2005905,-11.040131,-11.7724085
2148,-9.287526,6.8286963,-2.0023136,-7.324837,-11.78598,-18.021887,5.0942273,-2.8009284,-6.9588966,-22.687485
2149,-24.514345,27.79311,-6.0790987,-39.69563,-42.495964,-47.737453,33.977154,-10.408267,-43.541313,-67.70988
2150,-5.9973087,6.6161895,-1.3141546,-10.192106,-10.887381,-5.5107427,7.1490283,-0.81178445,-10.904358,-10.077857
2151,-13.878727,13.42419,-6.104095,-14.292938,-20.85157,-13.884532,13.67735,-7.008067,-13.38663,-20.601881
2152,3.825044,14.507915,-3.3462353,-18.262512,-3.2757893,2.0438018,15.398566,-3.361272,-19.172297,-5.0912
2153,-2.876063,3.28132,-0.70961595,-5.849926,-6.1542845,-3.3438642,3.8789954,-0.7169694,-6.539461,-6.7212996
2154,-1.6042776,4.4743395,-0.82377905,-8.579538,-6.5332556,0.1608514,1.0936391,-0.22555102,-4.178061,-3.1491215
2155,-6.1572,12.42015,-2.2667632,-16.756725,-12.760539,-5.720911,11.700948,-1.7410082,-16.110296,-11.871267
2156,-1.665558,9.984032,-1.2594702,-13.230297,-6.1712933,-1.5641665,9.765061,-0.96085805,-12.930022,-5.6899858
2157,-8.917062,1.7805547,-1.4731292,-6.1196065,-14.729242,-9.278213,1.7901055,-1.438005,-6.1038117,-15.029924
2158,-39.11672,23.79945,-6.91376,-24.104647,-46.335674,-41.140778,23.82874,-6.3962846,-23.752838,-47.461163
2159,-5.358138,9.525102,-1.7051718,-15.518059,-13.056267,-5.6373587,9.507071,-1.4278709,-15.791886,-13.350045
2160,0.4947126,1.735228,-0.52099514,-3.8209276,-2.1119823,1.3363179,0.81068766,-0.27343127,-3.1254005,-1.2518262
2161,6.8936644,1.531039,-0.84433496,-2.5150654,5.0653033,7.1737156,1.7939229,-0.49150664,-1.9132559,6.5628757
2162,2.8666594,1.6643429,-0.6608403,-3.0622635,0.8078983,3.985913,1.4120092,-0.3653317,-3.1514685,1.8811222
2163,-27.147905,60.324158,-7.2390337,-85.91824,-59.981026,-24.791847,56.453316,-8.725274,-83.29928,-60.363087
2164,-6.235098,5.8254457,-1.4325856,-3.902488,-5.7447257,-6.4372954,6.8635902,-1.8707622,-4.0694494,-5.513917
2165,4.1107187,1.7445887,-0.62094796,-2.5957932,2.6385665,-3.457798,1.9585948,-0.5642596,-3.2056289,-5.2690916
2166,-8.226582,19.042263,-2.5244489,-22.379065,-14.0878315,-7.5996685,18.424284,-2.2611256,-21.369137,-12.805648
2167,-1.9374571,1.8359694,-0.8475335,-3.6324184,-4.5814395,-1.8769754,3.1161103,-0.4927621,-4.7631407,-4.016768
2168,-10.22252,10.707018,-2.5434337,-8.907971,-10.966907,-11.498678,6.9932675,-2.752781,-9.275112,-16.533304
2169,-5.1686206,2.9713635,-1.0124688,-5.841819,-9.051544,-4.067873,5.6075783,-1.1490058,-6.598268,-6.2075686
2170,-5.155215,6.849813,-1.1425703,-9.605352,-9.053325,-4.905779,7.247498,-0.92832756,-10.434586,-9.021194
2171,-31.332792,31.420979,-9.607867,-17.521976,-27.041658,-31.21317,31.30982,-9.667725,-17.340813,-26.911886
2172,3.4914143,5.190889,-1.9332469,-10.279816,-3.5307589,4.953047,4.6442013,-1.9335432,-9.310693,-1.6469882
2173,-49.174583,48.0551,-11.37445,-12.59536,-25.089294,-51.23746,50.347275,-11.004441,-12.734586,-24.629213
2174,-7.736718,15.263507,-4.319923,-18.588264,-15.381399,-8.25615,16.963287,-5.5488033,-18.836714,-15.678379
2175,-10.344454,5.3265333,-2.2391777,-7.9678984,-15.224997,-9.34118,5.203157,-2.1280167,-8.551342,-14.817382
2176,-26.592216,35.37947,-6.7341146,-42.324795,-40.271656,-26.160208,35.19469,-7.27899,-40.730587,-38.975094
2177,-32.923885,26.74583,-5.755698,-33.677647,-45.6114,-34.217785,28.375763,-5.8720417,-34.73975,-46.453815
2178,-8.97752,15.434313,-2.699543,-23.990137,-20.232887,-9.084643,15.327128,-2.0816686,-24.299564,-20.138748
2179,-31.197989,27.323986,-7.3030586,-39.23473,-50.41179,-32.89117,28.262295,-7.289896,-40.006973,-51.925743
2180,-11.839,6.271993,-2.4196377,-6.9861293,-14.9727745,-10.589195,5.5537705,-2.4297986,-6.6724863,-14.13771
2181,-15.173526,8.150212,-3.494923,-10.911346,-21.429583,-14.851613,10.656692,-3.324193,-11.321397,-18.840513
2182,-29.976086,20.902626,-7.7043905,-19.180452,-35.9583,-31.129295,21.396957,-9.148046,-19.474195,-38.35458
2183,-70.08611,57.56423,-18.157894,-16.693804,-47.37358,-74.39646,61.14094,-20.242483,-17.176016,-50.674023
2184,-4.4218283,8.260221,-1.2541339,-11.403863,-8.819605,-4.159974,8.116967,-0.97847706,-10.95436,-7.975844
